Cuestionario,Pregunta,Respuesta
DERECHO PENAL,¿Cuál es el fin del Derecho Penal?,"La misión primordial del Derecho Penal es fomentar el respeto a los bienes jurídicos, es decir, su función es de carácter ético – social. El derecho no puede prohibir la causación de un resultado. Lo que hace es prohibir la realización de conductas dirigidas a lesionar o que lleven consigo la posibilidad poner en peligro, un bien jurídico y esta función la cumple mandando o prohibiendo determinadas acciones y no tratando de evitar la causación de determinados resultados."
DERECHO PENAL,¿En qué consiste el Derecho Penal subjetivo?,Es la facultad que tiene el Estado de fijar penas (perspectiva abstracta). Cuando se hace efectivo el derecho punitivo es exclusivamente en virtud de una ley.
DERECHO PENAL,¿En qué consiste el Derecho Penal objetivo?,Es el conjunto de leyes y normas que definen los delitos y las penas (derecho concreto).
DERECHO PENAL,Para su estudio el Derecho Penal se divide en:,"Parte General: Estudia las leyes penales en general, a los delincuentes, las penas y las medidas de seguridad. Parte Especial: Estudia a los delitos en particular."
DERECHO PENAL,¿Con qué ciencias del Derecho Penal se relaciona y por qué?,"Derecho Constitucional: Este contempla las necesidades propias de una sociedad en un tiempo determinado y su satisfacción y el penal protege que estas necesidades sean satisfechas. Derecho Civil: Este contempló en Derecho Romano delitos de tipo penal que hoy reciben influencia de la legislación común en su conceptualización. Derecho Internacional: Mediante los principios y pautas del este se celebran tratados internacionales para la investigación, persecución y sanción de los delitos en el ámbito internacional. Derecho Penitenciario: Este se encarga de la aplicación de sanciones."
DERECHO PENAL,¿Cuáles son algunas de las Ciencias Auxiliares del Derecho Penal?,"Antropología criminal, sociología criminal, psicología criminal, criminología, medicina legal y penología."
DERECHO PENAL,¿En qué consiste la criminología?,"Ciencia empírica e interdisciplinaria que se ocupa del crimen, del delincuente, de la víctima y del control social del comportamiento desviado."
DERECHO PENAL,¿Cómo se define la criminalística?,Ciencia que se encarga de la aplicación de la evidencia material para demostrar lo que realmente sucedió en la reconstrucción de los hechos.
DERECHO PENAL,Concepto de delito:,"Acto u omisión que concuerda exactamente con la conducta que, como tal, se menciona expresamente en tipificada en las normas penales."
DERECHO PENAL,¿Cuáles son los elementos esenciales del delito?,"Esenciadísimos: Antijuricidad, tipo, conducta, culpabilidad. Esenciales: Tipicidad, punibilidad, imputabilidad."
DERECHO PENAL,Defina en forma somera cada uno de los elementos esenciales del delito:,"Antijuricidad: Conducta contraria a derecho - Tipo: Descripción legal de la conducta sancionada por la ley - Conducta: Comportamiento humano, voluntario, positivo o negativo encaminado a un propósito - Culpabilidad: Relación directa entre voluntad y conocimiento del hecho con la conducta realizado - Imputabilidad: Capacidad de entender y querer en el campo del derecho penal, capacidad de ejercicio que implica salud mental en el momento en que se comete el delito - Punibilidad: Amenaza de una pena contemplada en la ley, cuando se ha violado una norma penal - Tipicidad: Adecuación de la conducta al tipo penal."
DERECHO PENAL,Mencione cuáles son las corrientes doctrinarias que han definido al delito:,"Teoría finalista, causalista y sociologista."
DERECHO PENAL,¿Cuáles son los objetos del delito y defina cada uno de ellos?,Material: Entidad corpórea sobre la que recae el delito - Jurídico: Bien jurídico lesionado o puesto en peligro.
DERECHO PENAL,"Concepto de delito instantáneo, continuado y permanente:","Instantáneo: Se consuman en el momento en que se realizan todos sus elementos se agotan en el instante en que la conducta produce el delito - Continuado: Se producen varias acciones dañinas y un solo resultado jurídico relevante encaminado a un objetivo determinado - Permanente: La conducta se consuma al momento de realizarse, pero la secuela de esta permanece durante algún tiempo."
DERECHO PENAL,¿Cómo se clasifican los delitos de acuerdo a su forma de persecución?,De oficio y de querella de parte.
DERECHO PENAL,Diferencia entre objeto material y objeto jurídico del delito:,El material se refiere a la persona física o moral sobre al que recae el delito el jurídico hace referencia al daño del bien jurídico tutelado por la norma.
DERECHO PENAL,Menciona como se clasifica el delito en función de su materia:,"Del fuero común, del fuero federal y del fuero militar."
DERECHO PENAL,¿En qué consiste la inmunidad política y la inmunidad diplomática?,Prerrogativa que se les concede a los diplomáticos de otros países que se encuentran en el territorio nacional en el desempeño de sus funciones consiste en dejarlo exento de la jurisdicción ordinaria.
DERECHO PENAL,Concepto de conducta:,"La conducta es entendida como el comportamiento humano voluntario, positivo o negativo encaminado a un propósito."
DERECHO PENAL,¿Qué es la acción?,"La acción consiste en actuar o hacer, es un hecho positivo, el cual implica que el agente lleve a cabo uno o varios movimientos corporales y comete la infracción a la ley el que por sí mismo o por medio de instrumentos, animales, mecanismos e incluso mediante personas (autoría mediata)."
DERECHO PENAL,Mencione y explique los elementos de la acción:,"VOLUNTAD: es el querer, por parte del activo, de cometer el delito. Es la intención del sujeto activo. ACTIVIDAD: consiste en hacer o actuar. Es el hecho positivo o movimiento corporal humano encaminado a producir el ilícito. RESULTADO: es la consecuencia de la conducta el fin deseado por el agente y previsto en la ley penal. NEXO DE CAUSALIDAD: es el ligamento que une a la conducta con el resultado, el cual debe ser material."
DERECHO PENAL,Defina qué es la omisión y cuáles son sus elementos:,"La omisión consiste en no realizar la conducta típica con abstención de actuar, esto es, no hacer o dejar de hacer. Elementos: la voluntad, la inactividad, el resultado y el nexo causal."
DERECHO PENAL,¿En qué consiste la omisión simple y la comisión por omisión?,"OMISIÓN SIMPLE: llamada también omisión propia, la cual consiste en no hacer lo que se debe hacer, ya sea voluntaria o culposamente. Lo que produce un delito, aunque no haya un resultado, de modo que se infringe una norma preceptiva como en el caso de portación de arma prohibida. COMISIÓN POR OMISIÓN: llamada también omisión impropia, consistente en un no hacer voluntario culposo, cuya abstención produce un resultado material, y se infringe una norma preceptiva y otra prohibitiva como el abandono de la obligación de alimentar a los hijos, con lo que se puede causar su muerte."
DERECHO PENAL,¿Qué es la acción para la teoría causalista?,Se trata de un comportamiento humano dependiente de la voluntad que produce una determinada consecuencia en el mundo exterior.
DERECHO PENAL,¿Cómo define a la acción la teoría finalista?,"La acción no es un proceso causalmente dependiente de la voluntad, sino por su propia esencia, es el ejercicio de la actividad final."
DERECHO PENAL,¿Qué es la ausencia de conducta?,"Esto quiere decir que la conducta (acción u omisión) no existe y, por tanto, da lugar a la inexistencia de delito. Es un impeditivo de la formación de la figura delictiva."
DERECHO PENAL,¿Cómo se define la vis mayor y la vis absoluta?,"Vis Absoluta: consiste en que una fuerza humana exterior e irresistible se ejerce contra la voluntad de alguien, quien en apariencia comete la conducta delictiva. Vis Maior: es la fuerza mayor que a diferencia de la vis absoluta, proviene de la naturaleza. Se presenta el aspecto negativo de la conducta, es decir, ausencia de conducta, pues no existe la voluntad por parte del supuesto."
DERECHO PENAL,¿En qué consiste la actione liberae in causa y cuáles son sus efectos en el derecho penal?,Ocurre cuando se comete una conducta típica en estado de incapacidad psíquica provocada.
DERECHO PENAL,Explica el concepto de tipo penal:,Descripciones precisas de las acciones u omisiones que son consideradas como delito y a los que se les asigna una pena o sanción.
DERECHO PENAL,¿Cuáles son los elementos esenciales del tipo penal y cómo se define cada uno de ellos?,Subjetivos: Aluden a la finalidad del sujeto activo del delito - Objetivos: Pueden ser captados por medio de los sentidos - Normativos: Es necesario realizar una valoración jurídica o cultural.
DERECHO PENAL,¿Qué es la ausencia de tipo?,"Se presenta cuando el legislador, deliberada o inadvertidamente, no describe una conducta que, según el sentir general debería ser incluida en el catálogo de los delitos."
DERECHO PENAL,Explicar el concepto de tipicidad:,Cualidad que se le atribuye a un comportamiento que se adecua al tipo penal.
DERECHO PENAL,Defina qué se entiende por atipicidad:,Ausencia de adecuación de la conducta al tipo.
DERECHO PENAL,Diferencia entre la tipicidad y el tipo penal:,"La tipicidad es la cualidad que se le atribuye a un comportamiento que se adecua al tipo penal, el tipo es la descripción de la conducta prohibida."
DERECHO PENAL,Explique la función de la tipicidad y mencione en qué precepto legal se encuentra la tipicidad:,"Su función es una secuela del principio legalista y garantía de libertas tiene una función delimitadora, motivadora y garantizadora de legalidad, se encuentra tutelada en el artículo 14 constitucional."
DERECHO PENAL,¿Cómo se clasifican los tipos penales de acuerdo por su conducta y en qué consisten?,Acción: Requieren del movimiento corporal del agente en la realización del hecho punible - Omisión: El agente realiza una conducta diversa a la jurídicamente ordenada por la norma.
DERECHO PENAL,¿Cómo se clasifican y se definen los tipos penales conforme a su ordenación metódica?,"Delito especial privilegiado: Se forma de manera independiente, agregando al tipo fundamental otro requisito que implica disminución o atenuación de la pena - Delito especial cualificado: Se forma autónomamente, añadiendo al tipo fundamental o básico otra exigencia, que implica aumento o agravación de la pena, como el homicidio en razón de parentesco - Ilícito penal complementado: Se estructura mediante un tipo básico, al cual se le agregan otros aspectos o referencias que modifican su gravedad o atenuación, sin que adquiera vida propia como el especial homicidio calificado."
DERECHO PENAL,Explique cómo se dividen los delitos y en qué consiste cada uno de ellos de acuerdo al daño que causan:,"De daño o lesión: Infaliblemente se afecta el objeto jurídico. (robo, homicidio) - De peligro: Cuando no se afecta el bien jurídico tutelado, sino solo se pone en riesgo la ley castiga la alarma en que se situó el bien jurídicamente tutelado."
DERECHO PENAL,Concepto de antijuricidad:,Conducta externa del individuo que es puramente objetiva y que viola el valor o bien protegido por las normas penales (contrario a derecho).
DERECHO PENAL,Diferencia entre la antijuricidad formal y material:,"La formal es aquella que viola lo señalado por la ley y la material existe cuando habiendo trasgredido una norma positiva, lesiona o pone en peligro un bien jurídico que el derecho quería proteger, represente una contradicción a los intereses de la colectividad o signifiquen un daño o perjuicio social por la rebeldía a la norma."
DERECHO PENAL,¿En qué casos se da la ausencia de antijuricidad?,Cuando medie alguna causa de justificación.
DERECHO PENAL,¿Cuáles son las causas de justificación de la antijuricidad?,Legítima defensa - Estado de necesidad - Cumplimiento de un deber - Ejercicio de un derecho - Consentimiento del titular del bien jurídico afectado.
DERECHO PENAL,Concepto de legítima defensa:,"Repulsa de una agresión antijurídica, actual e inminente y sin derecho por el atacado o tercera persona contra el agredir, sin traspasar la necesidad de la defensa dentro de la racional proporcionalidad de los medios."
DERECHO PENAL,¿En qué casos se da la ausencia de antijuricidad por el ejercicio de un derecho?,"Cuando obrando legítimamente en ejercicio de un deber o de un derecho que la norma preceptúa, se causa un daño a otro bien jurídico tutelado, siempre que este se realice en provecho de quien lo ejerza y nunca en perjuicio de persona alguna por el abuso de atribuciones."
DERECHO PENAL,¿Qué entiendes por estado de necesidad?,"Estado de peligro actual o inmediato para bienes jurídicamente protegidos, que solo puede evitarse mediante la lesión de bienes también jurídicamente tutelados, pertenecientes a otra persona, siempre en razón del interés preponderante."
DERECHO PENAL,¿En qué casos el robo está excluido de responsabilidad?,En el caso de robo famélico.
DERECHO PENAL,Defina el ejercicio de un derecho según el Código Penal Federal:,Cuando la acción o la omisión se realicen en cumplimiento de un deber jurídico o en ejercicio de un derecho siempre que exista necesidad racional del medio empleado para cumplir el deber o ejercer el derecho y que este ultimo no se realice con el solo propósito de perjudicar a otro.
DERECHO PENAL,¿Qué es la retroactividad de la ley y cuándo se aplica?,"Aplicación de una norma, respecto de un hecho ocurrido antes del surgimiento de esta sólo se puede aplicar en beneficio de las personas mas nunca en perjuicio de estas."
DERECHO PENAL,¿Cuáles son las ramas de la criminalística?,"Dactiloscopía, grafoscopía, retrato hablado, balística, etc."
DERECHO PENAL,¿Cuál es y a qué atiende la clasificación legal del los tipos penales?,"Atiende al bien jurídico tutelado y se clasifica en: Elementos tipo: objetivos, subjetivos y normativos - Culpabilidad: dolosos y culposos - Materialización: permanentes, instantáneos y continuados - Conducta: acción y omisión - Perseguibilidad: de querella y oficio."
DERECHO PENAL,"Explica brevemente las principales diferencias entre la teoría finalista de la acción, la teoría causalista, y sociologista respecto del delito:","Causalista: La acción se trata de un comportamiento humano dependiente de la voluntad que produce una determinada consecuencia en el mundo exterior - Finalista: La acción no es solo un proceso causalmente dependiente de la voluntad, sino por su propia esencia es el ejercicio de la actividad final - Sociologista: Las define tomando en cuenta la influencia de la sociedad en su comisión."
DERECHO PENAL,Defina quién es el sujeto activo y el sujeto pasivo de la conducta:,"Activo: Persona física que comete el delito (delincuente, agente, criminal) - Pasivo: Persona física o moral sobre quien recae el daño o el peligro causado por la conducta realizada por el delincuente."
TEORIA LEY PENAL,Cuáles son las fases de la evolución de la teoría del delito,"c) Teorías, clásica, neoclásica, finalista y lógico matemática"
TEORIA LEY PENAL,"Se configura cuando el sujeto activo del delito obra por la necesidad de salvaguardar un bien jurídico propio o ajeno, de un peligro real, actual o inminente, no ocasionado dolosamente por el sujeto, lesionando otro bien de igual valor que el salvaguardado, siempre que el peligro no sea evitable por otros medios y el agente no tuviere el deber jurídico de afrontarlo",b) Estado de necesidad exculpante
TEORIA LEY PENAL,Máximo exponente de la doctrina penal italiana y representante de la Escuela Clásica,a) Francisco Carrara
TEORIA LEY PENAL,Individuo que se encuentra impedido de comprender el carácter ilícito del hecho que cometió,c) Error de tipo
TEORIA LEY PENAL,Extingue la acción penal por el simple transcurso del tiempo señalado por el Código Penal,d) Prescripción
TEORIA LEY PENAL,"Quien produce el resultado típico que no previó, siendo previsible o previó confiando en que no se produciría, en virtud de la violación de un deber de cuidado que objetivamente era necesario observar",b) Acción culposa
TEORIA LEY PENAL,Es el elemento del delito que consiste en el encuadramiento de la conducta al tipo penal,b) Tipicidad
TEORIA LEY PENAL,Contradicción entre la conducta humana y la prohibición o mandato contenido en la ley penal,d) Antijuricidad
TEORIA LEY PENAL,La interpretación histórica se refiere a que debe entenderse con base en,"a) El momento en que se originó, el por qué y para que se creó"
TEORIA LEY PENAL,"La culpabilidad surge como un proceso o nexo psicológico que une al sujeto activo con el hecho y sus especies eran el dolo y la culpa, esto está establecido en cuál de teoría",b) Teoría Clásica
TEORIA LEY PENAL,"Situación de conflicto entre dos tipos penales que prevén el mismo supuesto de hecho, el juzgador estará en posibilidades de aplicar cualquier de ellas, inclinándose por la de mayor entidad punitiva, de que principio se trata",c) Principio de alternatividad
TEORIA LEY PENAL,"Son aquellas circunstancias materiales, humanas o anímicas, que son necesarias para que el hecho delictivo sea punible, y por lo mismo, que pueden traer o no como consecuencia directa un perjuicio o daño",b) Condiciones Objetivas para la existencia de la Punibilidad
TEORIA LEY PENAL,En los delitos en general cual es el aspecto que diferencia a los de acción y a los de omisión,a) La voluntad activa
TEORIA LEY PENAL,"El agente realiza una conducta diversa a la jurídicamente ordenada por la norma, con independencia del resultado material que se produzca, que delito es",d) Omisión simple
TEORIA LEY PENAL,"Modelo lógico: Nivel del lenguaje en el que se sitúan las normas penales generales y abstractas creadas por el legislador, integradas con un tipo penal y una punibilidad, si se trata de sujetos imputables o de un tipo de descripción legal de medidas de seguridad, si se trata de inimputables",d) Nivel normativo general y abstracto
TEORIA LEY PENAL,En nuestra legislación actual es sancionado el delito imposible,a) No
TEORIA LEY PENAL,"En la tentativa cuando la resolución de cometer un delito se exterioriza realizando, en parte o totalmente, los actos ejecutivos que deberían producir el resultado, u omitiendo los que deberían evitarlo, si por causas ajenas a la voluntad del sujeto activo no se llega a la consumación, pero se pone en peligro el bien jurídico tutelado.",c) Es punible
TEORIA LEY PENAL,"En los delitos de autoría y participación, cuales son aquellos que acuerdan o preparan la realización del delito",c) Intelectual
TEORIA LEY PENAL,Como se adquiere la capacidad jurídica de las personas físicas y como se pierde,c) Se adquiere por nacimiento y se pierde con la muerte
TEORIA LEY PENAL,"Franz von Lizt señala mal que el juez inflige al delincuente a causa de su delito, para expresar la reprobación social con respecto al actor y autor se le considera como",a) penas
SISTEMA PENAL ACUSATORIO,¿Qué es el Sistema Penal Acusatorio?,"Es un sistema adversarial, donde las partes (Fiscalía y defensa) se enfrentan en igualdad de oportunidades ante un juez imparcial, quien, con base en las pruebas y argumentos, decide si condena o absuelve. También pueden intervenir la víctima para que se le garanticen la verdad, la justicia y la reparación. Las pruebas se reciben directamente por el juez, son sometidas a debate y confrontación por las partes, lo que asegura la calidad y veracidad de la información."
SISTEMA PENAL ACUSATORIO,¿Qué es el proceso penal?,"Es el mecanismo por medio del cual se investigan los delitos, y se acusa y se juzga a los presuntos responsables, cuando a ello hubiere lugar."
SISTEMA PENAL ACUSATORIO,¿Cómo se inicia un proceso penal?,En el momento en que la Fiscalía tiene conocimiento de una conducta que se advierte delictiva y acusa por la misma. Ese conocimiento puede ser por denuncia o querella.
SISTEMA PENAL ACUSATORIO,¿Quiénes pueden denunciar?,Cualquier persona puede denunciar a la autoridad los delitos de cuya comisión tenga conocimiento y que deban investigarse de oficio.
SISTEMA PENAL ACUSATORIO,¿Quiénes deben denunciar?,"Estarán obligados a denunciar dentro de las veinticuatro horas siguientes al momento en que tomaren conocimiento del hecho criminal: I. Los miembros de la policía, todos los delitos que presenciaren o llegaren a su noticia II. Los miembros de las Fuerzas Armadas deberán denunciar todos los delitos de que tomaren conocimiento en el ejercicio o en ocasión de sus funciones III. Los fiscales investigadores y demás servidores públicos, los delitos de que tomaren conocimiento en el ejercicio o en ocasión de sus funciones y, especialmente, en su caso, los que notaren en la conducta de sus subalternos IV. Los jefes de puertos, aeropuertos, estaciones de trenes, autobuses o de otros medios de transporte o de carga, los capitanes de naves o de aeronaves comerciales que naveguen en el mar territorial o en el espacio territorial, respectivamente, y los conductores de los trenes, autobuses u otros medios de transporte o carga, los delitos que se cometieren durante el viaje, en el recinto de una estación, puerto o aeropuerto o a bordo del buque o aeronave V. Los jefes de establecimientos hospitalarios o de clínicas particulares y, en general, los profesionales en medicina, odontología, química, farmacia y de otras ramas relacionadas con la conservación o el restablecimiento de la salud, y los que ejercieren prestaciones auxiliares de ellas, que notaren en una persona o en un cadáver señales de envenenamiento o de otro delito, y VI. Los directores, inspectores y profesores de establecimientos educacionales de todo nivel, los delitos que afectaren a los alumnos o que hubieren tenido lugar en el establecimiento. Las personas señaladas en este artículo que omitieren hacer la denuncia incurrirán en las responsabilidades específicas conforme las leyes, aunque la denuncia realizada por alguno de los obligados eximirá al resto."
SISTEMA PENAL ACUSATORIO,¿En qué casos estas persona no están obligadas a denunciar?,"En todos estos casos, la denuncia deja de ser obligatoria si razonablemente las personas comprendidas en este artículo arriesgan la persecución penal propia, del cónyuge, concubina, concubinario o pariente dentro del tercer grado de consanguinidad o por adopción, o segundo de afinidad, o cuando los hechos fueron conocidos bajo secreto profesional."
SISTEMA PENAL ACUSATORIO,¿Cuáles son los principios del proceso penal?,"El respeto de la dignidad humana, de la igualdad, de la imparcialidad, de la legalidad, de la presunción de inocencia, del derecho de defensa, del debido proceso, de los derechos de las víctimas y de la sociedad. Los principios de concentración, continuidad, inmediación, oralidad, lealtad, contradicción, publicidad, del juez natural y de cosa juzgada, entre otros, caracterizan al sistema acusatorio."
SISTEMA PENAL ACUSATORIO,¿Qué es el principio de la dignidad humana?,"Significa que todos los intervinientes en el proceso penal deben ser tratados como seres humanos y no como objetos, respetando su dignidad personal y su integridad física, psíquica y moral."
SISTEMA PENAL ACUSATORIO,¿Qué es el principio de igualdad?,"Es el derecho de las personas que intervienen en el proceso penal a recibir el mismo trato y las mismas oportunidades, sin discriminación por origen étnico, religión, opinión política o filosófica."
SISTEMA PENAL ACUSATORIO,¿Qué es el principio de imparcialidad?,"Es la obligación de los jueces, en el ejercicio de sus funciones de control, preclusión y juzgamiento, de orientarse por el imperativo de establecer con objetividad la verdad y la justicia. En la práctica, que los jueces mantengan un rol imparcial sobre la investigación, acusación y presentación de pruebas."
SISTEMA PENAL ACUSATORIO,¿Qué es el principio de legalidad?,"Significa que nadie puede ser investigado ni juzgado sino conforme con la ley procesal vigente al momento de los hechos, observando las formalidades propias de cada juicio."
SISTEMA PENAL ACUSATORIO,¿Qué es la presunción de inocencia?,Toda persona se presume inocente y debe ser tratada como tal mientras no quede en firme una decisión judicial definitiva sobre su responsabilidad.
SISTEMA PENAL ACUSATORIO,¿Qué es el principio de in dubio pro reo?,"Corresponde a la Fiscalía la carga de la prueba acerca de la responsabilidad penal. Si después de valorar en conjunto y racionalmente las pruebas aportadas por las partes, el juez tiene duda sobre la conducta delictiva o la responsabilidad del acusado, deberá resolver a favor del procesado."
SISTEMA PENAL ACUSATORIO,¿Cuáles son los derechos de las víctimas?,"Tener acceso a la justicia recibir un trato humano y digno protección de su intimidad garantía de seguridad, de sus familiares y sus testigos a que se haga justicia en el caso a conocer la verdad de lo ocurrido a la reparación de los daños sufridos a recibir información a intervenir directamente en algunas decisiones y recibir asistencia integral. Además, a recibir información sobre organizaciones que pueden ayudarla y el tipo de ayuda, el lugar y el modo de presentar una denuncia o querella, las actuaciones subsiguientes a su denuncia, modo y condiciones de protección, mecanismos de defensa que puede utilizar, información sobre el proceso penal y sentencia, reparación integral, derecho de intervenir en el proceso y tener un profesional del derecho que lo represente legalmente."
SISTEMA PENAL ACUSATORIO,¿Qué es el principio de contradicción?,"Es el acto mediante el cual las partes (Fiscalía y defensa) tienen derecho a conocer, controvertir o confrontar las pruebas, así como a intervenir en su formación y a oponerse a las alegaciones de la otra parte o interviniente."
SISTEMA PENAL ACUSATORIO,¿Qué es el principio de inmediación?,"Solamente se considera prueba aquella que ha sido practicada y producida por las partes ante el juez de juicio oral, en un juicio público, oral y contradictorio, con el fin de que el juez observe directamente el comportamiento de los testigos al declarar y que pueda valorar más objetivamente esas declaraciones."
SISTEMA PENAL ACUSATORIO,¿Qué es el principio de concentración?,"Las pruebas y diligencias deben practicarse en una audiencia continua, preferiblemente el mismo día."
SISTEMA PENAL ACUSATORIO,¿Qué es el principio de publicidad?,"Significa que la actuación procesal y las audiencias deben ser abiertas, con el fin de que a ellas accedan no solo las partes e intervinientes, sino también los medios de comunicación y la comunidad. Excepto en los casos en los que la Constitución y las Leyes así lo señalen."
SISTEMA PENAL ACUSATORIO,¿Quiénes tienen acceso a la actuación?,"Además de los intervinientes, la comunidad en general, que incluye a los medios de comunicación."
SISTEMA PENAL ACUSATORIO,¿Existen excepciones a la publicidad de las actuaciones?,"Sí. La actuación no será pública cuando el juez considere que la publicidad de los procedimientos pone en peligro a las víctimas, testigos, peritos, intervinientes se afecte la seguridad pública se exponga a un daño psicológico a los menores de edad o se comprometa seriamente el éxito de la investigación."
SISTEMA PENAL ACUSATORIO,¿Qué es el principio de oralidad?,"Las partes, intervinientes y testigos deben manifestarse verbalmente y en audiencia ante el juez. Generalmente, está prohibida la lectura o la entrega de memoriales."
SISTEMA PENAL ACUSATORIO,¿Cómo operaba esa situación en el anterior sistema?,Se caracterizaba por la escritura. Era un sistema de actas y de constancias.
SISTEMA PENAL ACUSATORIO,¿Qué ventajas tiene la oralidad?,"El juez percibe directamente las manifestaciones de los testigos e intervinientes. Esto supone un proceso mucho más ágil, directo, eficaz y eficiente."
SISTEMA PENAL ACUSATORIO,¿Qué es el principio del juez natural?,Garantizar que nadie podrá ser juzgado por un juez o tribunal instituido o creado con posterioridad a la comisión de un delito por fuera de la justicia ordinaria.
SISTEMA PENAL ACUSATORIO,¿Qué es el principio de cosa juzgada?,"Establece que una persona, después de que haya sido definida su situación mediante sentencia en firme, no puede ser investigada ni juzgada por los mismos hechos."
SISTEMA PENAL ACUSATORIO,¿Cuál es la función esencial de la Fiscalía?,"Los fiscales investigadores ejercerán la acción penal pública en la forma establecida por la ley, dirigirán la investigación y practicarán las diligencias pertinentes y útiles para determinar la existencia del hecho punible, sin embargo, requerirá de autorización judicial cuando la naturaleza de los actos de investigación implique la restricción de los derechos fundamentales. En el cumplimiento de sus funciones, los fiscales investigadores vigilarán que la policía cumpla con los requisitos de legalidad de los actos de investigación que se lleven a cabo."
SISTEMA PENAL ACUSATORIO,¿Cuál es la función esencial de los jueces del tribunal de juicio oral?,Un juzgador imparcial que escucha la evidencia presentada y confrontada en un juicio oral para decidir sobre la responsabilidad penal de los acusados. Absolver o condenar a los acusados. El Tribunal de juicio oral es el órgano jurisdiccional competente para conocer del juzgamiento.
SISTEMA PENAL ACUSATORIO,¿Cuál es la función de los jueces de control?,"Un juez imparcial que garantiza los derechos del investigado, imputado, víctima y la sociedad durante las audiencias preliminares antes del juicio. Tienen dos funciones esenciales. Son los llamados a dictar medidas cautelares y, como su nombre lo indica, controlan la legalidad de las actuaciones de la Fiscalía y de la policía judicial. Quien haya actuado como juez de control no puede ser juez del Tribunal de juicio oral."
SISTEMA PENAL ACUSATORIO,¿Cuándo se puede detener a una persona?,"Cuando sea sorprendida en flagrancia, en caso urgente, por orden del Ministerio Público y cuando exista orden emitida por un juez de control."
SISTEMA PENAL ACUSATORIO,¿Cuándo existe flagrancia?,Cuando una persona es detenida en el momento de cometer una conducta delictiva o bien cuando es perseguido ininterrumpida e inmediatamente después de ejecutarlo.
SISTEMA PENAL ACUSATORIO,¿Es necesario ser autoridad para detener en flagrancia?,"No. En situaciones de flagrancia, inclusive un particular está facultado para capturar."
SISTEMA PENAL ACUSATORIO,¿Cuándo un juez puede ordenar una detención?,Cuando la Fiscalía solicita y presenta elementos materiales o información que fundamenta la razón para la captura.
SISTEMA PENAL ACUSATORIO,¿La Fiscalía puede ordenar una captura?,"La Fiscalía podrá ordenar excepcionalmente capturas en casos de urgencia cuando I. Exista sospecha fundada de que el imputado ha participado en alguno de los delitos calificados como graves en el Código Penal del Estado II. Exista riesgo fundado de que el imputado pueda sustraerse a la acción de la justicia, y III. Por razón de la hora, lugar o cualquier otra circunstancia, no pueda el Ministerio Público ocurrir ante autoridad judicial para solicitar la orden de aprehensión."
SISTEMA PENAL ACUSATORIO,¿Cuáles son los derechos del detenido?,"A toda persona capturada se le debe informar, de manera inmediata, del hecho que se le atribuye y qué motivó su detención del funcionario que la ordenó exhibiéndole, en su caso, la orden emitida del derecho a indicar la persona a quien se deba comunicar su aprehensión del derecho que tiene a guardar silencio y del derecho que tiene a designar y a entrevistarse con un abogado."
SISTEMA PENAL ACUSATORIO,¿Cuál es el procedimiento cuando se detiene a una persona?,"Cuando sea una autoridad la que realice la captura deberá conducirla inmediatamente ante la Fiscalía. Si es un particular, se debe conducir al aprehendido en el término de la distancia ante cualquier autoridad de policía o al Ministerio Público."
SISTEMA PENAL ACUSATORIO,"¿Y, seguidamente, qué debe hacer el Fiscal?","Si el delito no tiene prisión preventiva, debe dejarlo en libertad y si procede la detención debe legalizar la captura ante un Juez de Control dentro de un plazo máximo de 48 horas y solicitar a este, en caso de ser procedente, la prisión preventiva."
SISTEMA PENAL ACUSATORIO,¿Qué es una medida cautelar?,"Es una decisión adoptada por un Juez de Control, a petición de la Fiscalía, por medio de la cual afecta derechos fundamentales de un procesado, cuando advierte que, de los antecedentes y de la información con que se cuenta, se pueda inferir que el imputado puede ser autor o partícipe de la conducta delictiva que se investiga. La medida se impone siempre y cuando se cumpla alguno de los siguientes requisitos: Que sea necesaria para evitar que el procesado obstruya la justicia que el imputado constituya un peligro para la sociedad o para la víctima o que resulte probable que el imputado no comparecerá al proceso."
SISTEMA PENAL ACUSATORIO,¿Cuáles son las medidas cautelares privativas de la libertad?,La prisión preventiva en establecimiento de reclusión y el arresto domiciliario.
SISTEMA PENAL ACUSATORIO,¿Cuáles son las medidas de aseguramiento no privativas de la libertad?,"La obligación de someterse a un mecanismo de vigilancia electrónica o de una persona o institución determinada la obligación de presentarse o cuando sea requerido la prohibición de salir del país o de un determinado ámbito territorial, y la prohibición de concurrir a ciertos lugares o de comunicarse con determinadas personas, en especial con las víctimas."
SISTEMA PENAL ACUSATORIO,¿La Fiscalía puede practicar pruebas?,"No. Las pruebas, salvo la anticipada, se practican ante el Tribunal de juicio oral, en el escenario de un juicio público, oral y concentrado, donde la Fiscalía presenta sus elementos materiales y evidencia física contra el acusado al juez, pidiéndole que las acepte como prueba."
SISTEMA PENAL ACUSATORIO,"Si la Fiscalía no puede practicar pruebas, ¿cómo realiza la investigación?",La Fiscalía se dedica a la búsqueda de evidencias o datos de prueba y a obtener información sobre el delito y sus posibles responsables y para ello cuenta con los actos de investigación.
